12 Städte- und Gemeindefeuerwehren		
insgesamt 93 Freiwillige Feuerwehren		
7 Werk- / Betriebsfeuerwehren		
		
Florian Heidekreis 32-25-01	TLF 24/50	
Florian Heidekreis 32-43-01	LF 8	
Florian Heidekreis 32-44-01	LF 16-TS	
Florian Heidekreis 32-48-01	HLF 20	
Kater Niedersachsen 5-29-11	TLF 3000 CCFM	auch Florian Heidekreis 32-29-01
		
Stadt Soltau		
Ortsfeuerwehr Soltau	Scheibenstraße 10	29614 Soltau
Florian Heidekreis 33-10-1	KdoW	
Florian Heidekreis 33-11-1	ELW 1	
Florian Heidekreis 33-17-1	MTW	
Florian Heidekreis 33-26-1	TLF 20/40-SL	4.850l Wasser
Florian Heidekreis 33-30-1	DLK 23/12	
Florian Heidekreis 33-44-1	LF 20 Kats	
Florian Heidekreis 33-47-1	LF 16/12	
Florian Heidekreis 33-48-1	LF 20/30	
Florian Heidekreis 33-52-1	RW 2	
Florian Heidekreis 33-68-1	GW-L	diverse Rollcontainer
Florian Heidekreis 81-62-1	SW 2000	Fahrzeug des Landkreises
		
Ortsfeuerwehr Woltem	Woltem 12A	29614 Soltau
Florian Heidekreis 33-21-02	TLF 16/24-Tr	
Florian Heidekreis 33-43-02	LF 8	
		
Ortsfeuerwehr Dittmern-Deimern	Dittmern 10	29614 Soltau
Florian Heidekreis 33-20-3	TLF 8/18	
Florian Heidekreis 33-40-3	TSF	
		
Ortsfeurwehr Harber	Abelbecker Weg 2	29614 Soltau
Florian Heidekreis 33-23-04	TLF 3000	
Florian Heidekreis 33-46-04	HLF 10	
		
Ortsfeuerwehr Hötzingen	Hötzingen	29614 Soltau
Florian Heidekreis 33-45-5	LF 8/6	
		
Ortsfeuerwehr Marbostel	Meßhausen 8a	29614 Soltau
Florian Heidekreis 33-45-6	LF 10/6	1.200l Wasser
		
Ortsfeuerwehr Meinern-Mittelstendorf	Nottorfweg 3a	29614 Soltau
Florian Heidekreis 33-45-7	LF 10/6	
		
Ortsfeuerwehr Wolterdingen	Auf dem Borstel 1	29614 Soltau
Florian Heidekreis 33-17-8	MTW	
Florian Heidekreis 33-45-8	LF 10/6	
		
Gemeinde Bispingen		
Ortsfeuerwehr Bispingen	Gartenstraße 5	29646 Bispingen
Florian Heidekreis 34-11-1	ELW 1	
Florian Heidekreis 34-19-1	MTW	
Florian Heidekreis 34-24-1	TLF 20/30	
Florian Heidekreis 34-47-1	LF 16/12	
Florian Heidekreis 34-59-1	GW-Logistik Technik	 
		
Ortsfeuerwehr Hützel	Bispinger Straße 30	29646 Bispingen
Florian Heidekreis 34-19-6	MTW	
Florian Heidekreis 34-20-6	TLF 8/18	
Florian Heidekreis 34-43-6	LF 8	
		
Ortsfeuerwehr Behringen	Schulweg	29646 Bispingen
Florian Heidekreis 34-19-2	MTW	
Florian Heidekreis 34-20-2	TLF 8/18	
Florian Heidekreis 34-47-2	LF 16/12	
		
Ortsfeuerwehr Volkwardingen	Volkwardingen 42	29646 Bispingen
Florian Heidekreis 34-20-3	TLF 8/18	
Florian Heidekreis 34-44-3	LF 16-TS	
		
Ortsfeuerwehr Hörpel	Lindeallee 8a	29646 Bispingen
Florian Heidekreis 34-23-4	TLF 16/24	
Florian Heidekreis 34-44-4	LF 16-TS	
		
Ortsfeuerwehr Steinbeck	Pousenbarg 5a	29646 Bispingen
Florian Heidekreis 34-20-5	TLF 8/18	
Florian Heidekreis 34-40-5	TSF	
		
Stadt Munster		
Ortsfeuerwehr Munster	Auf dem Sülle 11	29633 Munster
Florian Heidekreis 35-10-01	KdoW	Stadtbrandmeister
Florian Heidekreis 35-11-01	ELW 1	
Florian Heidekreis 35-17-01	MTW	
Florian Heidekreis 35-23-01	TLF 20/30	
Florian Heidekreis 35-26-01	TLF 16/45-3	
Florian Heidekreis 35-30-01	DLK 23-12	
Florian Heidekreis 35-47-01	LF 20	
Florian Heidekreis 35-52-01	RW 2	
Florian Heidekreis 35-64-01	MZF	
Florian Heidekreis 35-72-01	GW Hygiene	
Florian Heidekreis 81-44-01	LF 20-KatS	
Florian Heidekreis 81-71-01	ABC-ErkKW	
	FwA	
	PLA	
		
Ortsfeuerwehr Breloh	Birkenweg 17	29633 Munster
Florian Heidekreis 35-17-2	MTW	
Florian Heidekreis 35-45-2	LF 10	
		
Ortsfeuerwehr Oerrel	Turmweg 1	29633 Munster
Florian Heidekreis 35-21-3	TLF 16/24-Tr	
Florian Heidekreis 35-45-3	LF 10	
		
Ortsfeuerwehr Trauen	Celler Straße	29633 Munster
Florian Heidekreis 35-45-4	LF 10/6	
		
Ortsfeuerwehr Ilster-Alvern-Töplingen	Alvern 30	29633 Munster
Florian Heidekreis 35-20-5	TLF 8-W	
Florian Heidekreis 35-45-5	LF 10	
		
Stadt Schneverdingen		
OF Schneverdingen	Harburger Straße 21A	29640 Schneverdingen
Florian Heidekreis 36-10-01	KdoW	
Florian Heidekreis 36-11-01	ELW 1	
Florian Heidekreis 36-19-01	MTW	
Florian Heidekreis 36-22-01	TLF 16/25	Besatzung 1/8, 3.000l Wasser
Florian Heidekreis 36-25-01	TLF 20/40-SL	5.000l Wasser
Florian Heidekreis 36-31-01	DLK 18-12	
Florian Heidekreis 36-47-01	LF 16/12	2.000l Wasser
Florian Heidekreis 36-48-01	HLF 20	
Florian Heidekreis 36-51-01	RW	
Florian Heidekreis 36-61-01	SW 1000	
Florian Heidekreis 36-63-01	Werkstattwagen	
Florian Heidekreis 36-64-01	GW	Licht, Öl, Rettungsplattform, TH
	Anhänger mit Schlauchboot	
		
OF Ehrhorn-Wintermoor	Schulweg 23	29640 Schneverdingen
Florian Heidekreis 36-22-02	TLF 16/25	
Florian Heidekreis 36-45-02	LF 10/6	
		
OF Heber	Elly-Heuss-Knapp-Straße 4	29640 Schneverdingen
Florian Heidekreis 36-23-03	TLF 3000	
Florian Heidekreis 36-43-03	LF 8	
		
OF Großenwede	Lünzener Straße 96	29640 Schneverdingen
Florian Heidekreis 36-43-04	LF 8	
		
OF Insel	Dannenbusch 2	29640 Schneverdingen
Florian Heidekreis 36-45-05	LF 8/6	
		
OF Langeloh	Dieckmoor 1	29640 Schneverdingen
Florian Heidekreis 36-43-06	LF 8	
		
OF Lünzen	Am Obstgarten 4	29640 Schneverdingen
Florian Heidekreis 36-45-07	LF 8/6	
		
OF Schülern	Alter Schulweg 3	29640 Schneverdingen
Florian Heidekreis 36-45-08	LF 10/6	
		
