Station Code / Callsign,Station Name / Unit-Type,Address,Comments
G25A,OSU,,OSU 5 - 2007 Mercedes Benz Atego 1223 / Emergency One (#AE07 HXN)
G25S,ORV,,Station Manager
,,,
G26,Acton,27 Gunnersbury Lane,Built 1938
G261,DPL,,DPL 235 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU68 LWO)
G26S,ORV,,Station Manager
,,,
G27,North Kensington,242 Ladbroke Grove,Built 1986
G271,DPL,,DPL 338 - 2021 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 BFY)
G272,DPL,,DPL 273 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WM19 TSY)
G27S,ORV,,Station Manager
,,,
G28,Willesden,9A Pound Lane,Built 1934
G281,DPL,,DPL 306 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX20 ZHD)
G28S,ORV,,Station Manager
,,,
G29,Park Royal,15 Waxlow Road,Built 1958
G291,DPL,,DPL 199 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU67 HMG)
G29S,ORV,,Station Manager
CU7,CSU,,CSU 16 - 2023 Optare Solo / WH Bence (#LX23 DXV)
,MV,,MV 08-T - 2020 MAN TGE 3.180 (#DE70 VSO)
,MV,,MV 12-T - 2020 MAN TGE 3.180 (#DE70 VSV)
,UV,,UV 04 - 2019 Ford Transit Connect 230 (#LD69 WHR)
,,,
G30,Wembley,591A Harrow Road,Built 1939
G301,DPL,,DPL 227 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FGV)
G302,DPL,,DPL 262 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 JNF)
G303,TL,,TL 63A - Scania L360 Turntable Ladder / Emergency One / Magirus M32L-AS (2400/-/32M) (#EY70 YXU)
G306,FRU,,FRU 34 - 2021 Mercedes Benz Atego 1527F / Emergency One (#WM21 FRJ)
G30S,ORV,,Station Manager
,,,
G31,Northolt,74 Petts Hill,Built 1959
G311,DPL,,DPL 202 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU67 HMK)
G312,DPL,,DPL 290 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 YWF)
G31S,ORV,,Station Manager
,,,
G32,Ruislip,Bury Street,Built 1964
G321,DPL,,DPL 330 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 BFP)
G32S,ORV,,Station Manager
Prime Mover 010,PM,,PM 010 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VLV)
