Wach- /Funkrufname	Typ	Kommentar
+ Baby NAW Außenstelle	Rossdamm 6	
Florian Hamburg 32 BITW A	Baby-ITW	
		
F 33 Feuer- und Rettungswache Veddel	Am Zollhafen 11-13	20539 Hamburg
Florian Hamburg 33 ELW 1	ELW1	C-Dienst
Florian Hamburg 33 HLF 1	HLF 20	
Florian Hamburg 33 DLK 1	DLK 23/12	Mercedes / Metz
Florian Hamburg 33 GW1 1	GW1	
Florian Hamburg 33 GW-MANV 1	GW-MANV	
Florian Hamburg 33 NEF A	NEF	
Florian Hamburg 33 RTW A	RTW	
Florian Hamburg 33 RTW B	RTW	in Zukunft neu? wohl mit Personal des 21F wenn dieser vom ASB übernommen wurde
Florian Hamburg 33 RTW K	RTW	
Florian Hamburg 33 RTW ?	RTW	Technische Reserve
		
F 34 Feuer- und Rettungswache Wilhelmsburg	Rotenhäuser Str. 73	21107 Hamburg
Florian Hamburg 34 ELW 1	ELW1	C-Dienst
Florian Hamburg 34 HLF 1	HLF 20	
Florian Hamburg 34 DLK 1	DLK 23/12	Mercedes / Metz
Florian Hamburg 34 GW1 1	GW1	
Florian Hamburg 34 GW-TEL 1	GW-TEL	
Florian Hamburg 34 RTW A	RTW	
Florian Hamburg 34 RTW B	RTW	
Florian Hamburg 34 RTW C	RTW	
Florian Hamburg 34 RTW K	RTW	
		
F 35 Feuer- und Rettungswache Finkenwerder	Benittstrasse 15	21129 Hamburg
Florian Hamburg 35 ELW 1	ELW1	C-Dienst
Florian Hamburg 35 HLF 1	HLF 20	
Florian Hamburg 35 DLK 1	DLK 23/12	Mercedes / Metz
Florian Hamburg 35 GW1 1	GW1	
Florian Hamburg 35 GW-TEL 1	GW-TEL	
Florian Hamburg 35 MTW-SEGS 1	MTW-SEGS	
Florian Hamburg 35 RTW A	RTW	RTW HH 2022
Florian Hamburg 35 RTW K	RTW	
+ Außenstelle Bootsstation Finkenwerder	Benittstrasse 15	siehe F 11
		
F 36 Feuer- und Rettungswache Süderelbe	Waltershofer Str. 1	21147 Hamburg
Florian Hamburg 36 ELW 1	ELW1	
Florian Hamburg 36 HLF 1	HLF 20	
Florian Hamburg 36 DLK 1	DLK 26/12	Mercedes / Rosenbauer
Florian Hamburg 36 GW-R2 1	GW-R2	
Florian Hamburg 36 GW1 1	GW1	
Florian Hamburg 36 WLF A	WLF	
Florian Hamburg 36 WLF B	WLF	
Florian Hamburg 36 LUF 1	LUF	
Florian Hamburg 36 TMF Reserve	TMF	Metz-Wumag
Florian Hamburg 36 RTW A	RTW	
Florian Hamburg 36 RTW B	RTW	
Florian Hamburg 36 RTW C	RTW	
Florian Hamburg 36 RTW K	RTW	
Florian Hamburg 36 GW-MANV 1	GW-MANV	
	AB-Atemschutz	
	AB-LUF	
	AB-Mulde	
	AB-SEGS Schiffssicherung	
	AB-SEGS Schiffssicherung	
	AB-Sonderlöschmittel	Schaum
	AB-Wasser	
	FWA-SWW	
+ RTW Außenstelle Eißendorf	Stader Straße 27	
Florian Hamburg 36 RTW F	RTW	
+ NEF Außenstelle	Eißendorfer Pferdeweg 52	am AK Harburg
Florian Hamburg 36 NEF A	NEF	
		
F 045 Kampfmittelräumdienst	untergebracht an F 31	
Florian Hamburg 045 GW-KRD 1	GW-KRD	VW Amarok
Florian Hamburg 045 GW-KRD 2	GW-KRD	VW Amarok
Florian Hamburg 045 GW-KRD 3	GW-KRD	VW Amarok
Florian Hamburg 045 GW-KRD 4	GW-KRD	VW Amarok
Florian Hamburg 045 GW-KRD 5	GW-KRD	VW Amarok
Florian Hamburg 045 GW-KRD 6	GW-KRD	VW Amarok
Florian Hamburg 045 GW-KRD 7	GW-KRD	VW T5)
Florian Hamburg 045 GW-KRD 8	GW-KRD	VW T5
Florian Hamburg 045 GW-KRD 9	GW-KRD	Unimog
	AB-KMFE	
		
Werkfeuerwehr Flughafen Hamburg GmbH	Flughafenstraße 1-3	
Florian Hamburg Flughafen ELF 1	ELF	
Florian Hamburg Flughafen FLF 1	FLF	
Florian Hamburg Flughafen FLF 2	FLF	
Florian Hamburg Flughafen FLF 3	FLF	
Florian Hamburg Flughafen FLF 4	FLF	
Florian Hamburg Flughafen RTF 1	Rettungstreppenfahrzeug	
Florian Hamburg Flughafen HLF 40/1	HLF	
Florian Hamburg Flughafen HLF 40/2	HLF	
Florian Hamburg Flughafen HLF (Reserve)	HLF	
Florian Hamburg Flughafen HLF (Ausbildung)	HLF	
Florian Hamburg Flughafen GW-Logistik	GW-L	
Florian Hamburg Flughafen MTW 1	MTW	
Florian Hamburg Flughafen MTW 2	MTW	
Florian Hamburg Flughafen RTW 1	RTW	
Florian Hamburg Flughafen RTW 2	RTW	
Florian Hamburg Flughafen WLF	WLF	
	AB-Einsatzführung	
	AB-Rüst	
	AB-Rettung	
		
Betriebsfeuerwehr H&R Ölwerke Schindler	Neuhöfer Brückenstraße 127-152	
Florian Hamburg Schindler MZF	MZF	
Florian Hamburg Schindler STF	STF	
Florian Hamburg Schindler TLF	TLF	
Florian Hamburg Schindler TroLF	TroLF	
		
Werkfeuerwehr der Airbus Operations GmbH	Kreetslag 10	
Florian Hamburg Airbus - KdoW	KdoW	
Florian Hamburg Airbus - GW-A	GW-A	
Florian Hamburg Airbus - GW-N	GW-N	
Florian Hamburg Airbus - GW-N	GW-N	
Florian Hamburg Airbus - MZF	MZF	
Florian Hamburg Airbus - ELW 1	ELW1	
Florian Hamburg Airbus - ELW 2	ELW1	
Florian Hamburg Airbus - HLF	HLF	
Florian Hamburg Airbus - WLF 1	WLF	mit AB-Lösch
