Wach- /Funkrufname,Typ,Kommentar
Florian Dithmarschen 11-63-01,WLF,
Florian Dithmarschen 11-69-01,sonLog,
Florian Dithmarschen 11-83-01,RTW,
,,
WF Raffinerie Heide,Meldorfer Straße 43,25770 Hemmingstedt
Florian Dithmarschen 13-10-01,KdoW,
Florian Dithmarschen 13-11-01,ELW 1,
Florian Dithmarschen 13-29-01,ULF1,
Florian Dithmarschen 13-29-02,ULF2,
Florian Dithmarschen 13-63-01,WLF,
Florian Dithmarschen 13-64-01,WLF-Lkr,
Florian Dithmarschen 13-67-01,GW-L1,
Florian Dithmarschen 13-85-01,KTW,
AB-Gefahrgut,,
4x AB-Schaum a 12.200 l,,
AB-Schlauch,,
AB-Wasser,,
AB-Mulde,,
AB-Schaum,,
,,
WF KKW Brunsbüttel,Otto-Hahn-Straße 1,25541 Brunsbüttel
Florian Dithmarschen 15-20-01,TLF8/18,
Florian Dithmarschen 15-59-01,sonGW,
Florian Dithmarschen 15-83-01,RTW,
,,
WF Industriepark Brunsbüttel,Fährstraße 51,25541 Brunsbüttel
Florian Dithmarschen 43-14-01,MZF,
Florian Dithmarschen 43-36-01,Teleskopmast TMB 32,
Florian Dithmarschen 43-63-01,WLF,
Florian Dithmarschen 43-83-01,RTW,
Florian Dithmarschen 43-83-02,RTW,
Florian Dithmarschen 43-20-01,ULF1,
Florian Dithmarschen 43-20-01,ULF2,
Florian Dithmarschen 43-69-01,GW-L2,
AB-Gefahrgut / TUIS,,
AB-Öl,,
AB-Schaum,,
,,
FTZ/KFV Dithmarschen,,
,,
Kreisfeuerwehrzentrale St. Michaelisdonn,Am Sportplatz 8,25693 Sankt Michaelisdonn
Florian Dithmarschen 01-17-01,PKW Digitalfunk-Servicestelle,
Florian Dithmarschen 01-67-01,LKW-Lbw,
Florian Dithmarschen 01-69-01,sonLog,
Florian Dithmarschen 03-71-01,CBRNErkW  LZG Dithmarschen,
Florian Dithmarschen 03-76-01,sonCBRN,
,,
LZG Dithmarschen Halle 1,Hinrich-Schmidt-Straße 22,25746 Heide
Florian Dithmarschen 03-11-01,ELW 1,
Florian Dithmarschen 03-72-01,ReakErk,
Florian Dithmarschen 03-72-02,ReakErk,
Florian Dithmarschen 03-72-03,ReakErk,
Florian Dithmarschen 03-74-01,GW-DekonP,
Florian Dithmarschen 02-12-01,ELW 2 TEL Dithmarschen,
,,
LZG Dithmarschen Halle 2,Hinrich-Schmidt-Straße 26,25746 Heide
Florian Dithmarschen 03-54-01,GW-G,
Florian Dithmarschen 03-46-01,LF20,
