----- Regionalstelle Schleswig: -----		
		
Heros Oldesloe 21/10	MTW-TZ	
		
>>> Bergungsgruppe		
Heros Oldesloe 22/51	GKW	nach Brand schwer beschädigt, seit 12/2011 wieder im Dienst
	Anhänger BDF Lafette Wechselbrücke	
		
>>> Fachgruppe N		
Heros Oldesloe 24/54	MzKW	nach Brand schwer beschädigt, seit 11/2011 wieder im Dienst
	Anhänger NEA 50kVA Lichtmast	„Basti“ nach Brand schwer beschädigt, seit 11/2013! wieder im Dienst
		
>>> Fachgruppe Sprengen		
Heros Oldesloe 35/25	MTW FGr	
		
>> Fachzug Logistik (61)		
>>>>> Führungstrupp (61)		
Heros Oldesloe 61/10	MTW	
	Anhänger FüLa	
>>> Fachgruppe Logistik Materialwirtschaft		
>>>>> Materialerhaltungstrupp (63)		
Heros Oldesloe 63/63	LKW Lkr	nach Brand schwer beschädigt, seit 10/2011 wieder im Dienst
	Anhänger Plattform mit Werkstattcontainer	
Heros Oldesloe 63/25	MTW	
>>>>> Trupp Verbrauchsgüter (64)		
Heros Oldesloe 64/34	MLW IV	
	Anhänger Wechselbrücke mit Container	
>>>>> Trupp Transport Schwer		
Heros Oldesloe 62/43	LKW Lbw	
	Auflieger Container	
	Auflieger Pritsche	
		
>>> OV-Stab		
Heros Oldesloe 86/25	MTW	
Heros Oldesloe 86/35	MLW V	Jugendgruppe
	Anhänger Jugendgruppe	
>>> zusätzliche Ausstattung		
	Anhänger Sanitärcontainer	
	Gabelstapler	Neufahrzeug 12/2016
		
		
THW OV Eutin	Industriestraße 2	23701 Eutin
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Eutin 21/10	MTW ZTr	Neufahrzeug 07/2017
		
>>> Bergungsgruppe		
Heros Eutin 22/51	GKW	
	Anhänger Wechselbrücke BDF	Neufahrzeug 12/2017
		
>>> Fachgruppe N		
Heros Eutin 24/54	MzGW	
	Anhänger SEA 40kVA	
		
>>> Fachgruppe Räumen		
Heros Eutin 42/62	LKW K 8	Neufahrzeug 01/2019
	Anhänger Tieflader	Neufahrzeug 2017
Heros Eutin 42/71	Kettenbagger	Neufahrzeug 2017
	Anhänger Drucklufterzeuger	
>>> öGA		
Heros Eutin 56/69	Hägglund Kettenfahrzeug	Havariekommando
	Anhänger Pumpe 2x	
	Anhänger Ölwehr	
	Anhänger Wechsellader	
	Anhänger NEA 250 kVA	KatS Schleswig-Holstein
		
>>> OV-Stab		
Heros Eutin 86/25	MTW	
	Anhänger 1,8t	
		
		
THW OV Lauenburg	Reeperbahn 33	21481 Lauenburg
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Lauenburg 21/10	MTW-TZ	
		
>>> Bergungsgruppe		
Heros Lauenburg 22/51	GKW	
	Anhänger PLane/Spriegel EGS	
>>> Fachgruppe Elektroversorgung		soll seit Jahren nach Ahrensburg verlegt werden?
Heros Lauenburg 32/43	LKW Lbw	
	Anhänger NEA 175 kVA	
>>> OV-Stab		
Heros Lauenburg 86/25	MTW	
Heros Lauenburg 86/31	MLW 1	
	Tragkraftspritzenanhänger	ehem. Post KatS
		
		
THW OV Lübeck	Vorwerker Str. 141	23554 Lübeck
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Lübeck 21/10	MTW Ztr	
		
>>> Bergungsgruppe		
Heros Lübeck 22/51	GKW	Neufahrzeug 08/2020
	Anhänger 7t	
>>> Fachgruppe N		
Heros Lübeck 24/54	MzKW	
	Anhänger NEA 50 kVA LiMA	
	Anhänger NEA 175 kVA a.D.	2019 nach Ahrensburg abgegeben
		
>>> Fachgruppe Räumen		
Heros Lübeck 41/62	LKW Kipper	
	Anhänger Tieflader	Neufahrzeug 06/2022, Vorgänger nach Wolgast abgegeben
Heros Lübeck 41/72	Radlader	Neufahrzeug 02/2019
	Anhänger Drucklufterzeugung	
		
>>> Fachgruppe Ortung (Typ C)		
Heros Lübeck 46/25	MTW	Neufahrzeug 02/2022, nur technische Ortungsgeräte
		
>>>>> Fachtrupp Mobiler Hochwasserpegel		
Heros Lübeck 74/xx		
		
		
>> Fachzug Führung und Kommunikation		
>>>>> Führungstrupp		
Heros Lübeck 16/11	FüKW	
>>> Fachgruppe Führungsunterstützung		
Heros Lübeck 16/12	FüKomKW	
	Anh FüLa	
>>> Fachgruppe Kommunikation		
Heros Lübeck 16/13	FmKW	
		
>>> Fachgruppe Ölschaden		
Heros Lübeck 55/45	LKW Lkr	
	Anhänger Ladebordwand / Gabelstapler	
Heros Lübeck 55/65	WLF	
	Anhänger WLF	
	Gabelstapler	
	Anhänger Mehrzweckboot	
	Motorboot Groß	
	Mopmatic-Wringer	
	diverse Abrollbehälter / Container Ölwehr	
		
>>> OV-Stab		
Heros Lübeck 86/25	MTW	
	Anhänger Jugendgruppe	
Heros Lübeck 85/22	PKW	a.D.? Fachberater
	Sandsackfüllmaschine	Sandking 800
		
		
THW OV Mölln	Hein-Hollenbek Weg 1	23879 Mölln
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Mölln 21/10	MTW-Ztr	
		
>>> Bergungsgruppe		
Heros Mölln 22/51	GKW	
	Anhänger EGS	
		
>>> Fachgruppe N		
Heros Mölln 24/54	MzKW	
	Anhänger NEA 50 kVA	
		
>>> Fachgruppe Wasserschaden / Pumpen		
Heros Mölln 38/32	MLW 2	
Heros Mölln 38/43	Lkw Lbw	
	Anhänger Pumpe Böger	
	Anhänger Schlauchmaterial	
		
>>> OV-Stab		
Heros Mölln 86/31	MLW 1	
	Anhänger NEA Polyma 35 kVA	
		
		
THW OV Neustadt/Holstein	Am Holm 74	23730 Neustadt in Holstein
>> Technischer Zug		
Heros Neustadt 21/10	MTW Ztr	
		
>>> Bergungsgruppe		
Heros Neustadt 22/51	GKW	
	Anhänger BDF Lafette Wechselbrücke	
		
>>> Fachgruppe Infrastruktur		
Heros Neustadt 31/34	MLW IV	
Heros Neustadt 31/25	MTW FGr	
	Anhänger Spezialaufbau	
	Anhänger WC Container	
		
>>> OV-Stab		
Heros Neustadt 86/21	PKW	
	Anhänger NEA 40 kVA	
	Anhänger Jugendgruppe	
		
		
THW OV Oldenburg/Holstein	Am Voßberg 10	23758 Oldenburg in Holstein
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Oldenburg 21/10	MTW Ztr	
		
>>> Bergungsgruppe		
Heros Oldenburg 22/51	GKW	
	Anhänger EGS	
		
>>> Fachgruppe Wasserschaden / Pumpen		
Heros Oldenburg 38/43	LKW Lbw	
Heros Oldenburg 38/34	MLW 4	
	Anhänger Pumpe Hannibal 5.000	
	Anhänger 7t	
		
>>> OV-Stab		
Heros Oldenburg 86/25	MTW OV	
		
>>> Katastrophenschutz		
Florian Ostholstein 03-74-01	GW-Dekon-P	
		
		
THW OV Plön	Behler Weg 19	24306 Plön
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Plön 21/10	MTW Ztr	
		
>>> Bergungsgruppe		
Heros Plön 22/51	GKW	
	Anhänger Wechselbrücke	
	Wechselbrücke	neu 01/2018
		
