Kennung	Feuerwehr	Funk	Fahrzeugtyp
43	Klein Pampau	Hasenböge 7	21514 Klein Pampau
		Florian Lauenburg 43/18-01	MTW
		Florian Lauenburg 43/41-01	MLF
			
44	Müssen	Zum Sportplatz 1a	21516 Müssen
		Florian Lauenburg 44/14-01	MZF
		Florian Lauenburg 44/40-01	TSF-GW
		Florian Lauenburg 44/41-01	StLF 10/6
			
45	Schulendorf	Birkenallee	21516 Schulendorf
		Florian Lauenburg 45/14-01	MZF
		Florian Lauenburg 45/41-01	MLF 10/6
			
46	Witzeeze	Dorfstraße 16	21514 Witzeeze
		Florian Lauenburg 46/43-01	LF 8/6
		Florian Lauenburg 46/47-01	LF 16/12
			
47	Bröthen	Alte Dorfstraße 12	21514 Bröthen
		Florian Lauenburg 47/41-01	MLF
		Florian Lauenburg 47/42-01	LF 8
			
48	Siebeneichen	Kanalstraße	21514 Siebeneichen
		Florian Lauenburg 48/41-01	TSF-W
			
49	Fitzen	Dorfstraße 32	21514 Fitzen
		Florian Lauenburg 49/41-01	MLF
			
50	Breitenfelde	Bergkoppel 1	23881 Breitenfelde
		Florian Lauenburg 50/18-01	MTW
		Florian Lauenburg 50/42-01	LF 16-TS
		Florian Lauenburg 50/48-01	HLF 20/16
			
51	Niendorf/Strecknitz	Dorfstraße	23881 Niendorf a.d. St.
		Florian Lauenburg 51/14-01	MZF
		Florian Lauenburg 51/45-01	LF 8/6
			
52	Tramm	Dorfstraße 13	21516 Tramm
		Florian Lauenburg 52/14-01	MZF
		Florian Lauenburg 52/46-01	LF 16/12 n.B. (2022 aus HH)
			
	Hornbek	Hauptstraße 14	21514 Hornbek
		Florian Lauenburg 52/41-01	MLF
			
53	Schretstaken	A-Paul-Weber-Straße 36	21493 Schretstaken
		Florian Lauenburg 53/41-01	TSF-W
			
	Talkau	Friedhofstraße 1a	21493 Talkau
		Florian Lauenburg 53/14-01	MZF
		Florian Lauenburg 53/48-01	HLF 20/20
			
54	Bergrade	Bergrade	23898 Duvensee
		Florian Lauenburg 54/40-01	TSF
			
	Duvensee	Dörpstraat 39	23898 Duvensee
		Florian Lauenburg 54/18-01	MTW
		Florian Lauenburg 54/46-01	LF 16/12
			
	Koberg	Schulstraße 21	23881 Koberg
		Florian Lauenburg 54/41-02	TSF-W
			
	Ritzerau	Hohlweg 2	23896 Ritzerau
		Florian Lauenburg 54/41-03	TSF-W
			
55	Alt-Mölln	Heinz Hagelstein Weg 1	23881 Alt-Mölln
		Florian Lauenburg 55/14-01	MZF
		Florian Lauenburg 55/41-01	TSF-W
		Florian Lauenburg 55/47-01	LF 10
			
56	Bälau	Im Uhlenbusch	23881 Bälau
		Florian Lauenburg 56/41-01	TSF-W
			
	Borstorf	Burgstraße 1	23881 Borstorf
		Florian Lauenburg 56/41-02	TSF-W
			
57	Nusse	Kurzenlandskoppel 2	23896 Nusse
		Florian Lauenburg 57/14-01	MZF
		Florian Lauenburg 57/45-01	LF 8/6
		Florian Lauenburg 57/47-01	LF 10
			
58	Woltersdorf	Dorfstraße	214516 Woltersdorf
		Florian Lauenburg 58/18-01	MTW
		Florian Lauenburg 58/41-01	MLF
			
59	Lankau	Dorfstraße 11	23881 Lankau
		Florian Lauenburg 59/41-01	TSF-W
			
	Hammer	Pantener Straße 1	23896 Panten
		Florian Lauenburg 59/40-02	TSF
			
	Mannhagen	Hauptstraße 9	23896 Panten
		Florian Lauenburg 59/41-02	TSF-W
			
60	Mölln	Sankt-Florian-Weg 1	23879 Mölln
		Florian Lauenburg 60/10-01	KdoW
		Florian Lauenburg 60/11-01	ELW 1
		Florian Lauenburg 60/18-01	MTW
		Florian Lauenburg 60/18-02	MTW
		Florian Lauenburg 60/22-01	TLF 16/25
		Florian Lauenburg 60/32-01	DLK 23/12
		Florian Lauenburg 60/46-01	LF 20
		Florian Lauenburg 60/47-01	LF 20
		Florian Lauenburg 60/48-01	HLF 20
		Florian Lauenburg 60/51-01	RW 2
		Florian Lauenburg 60/67-01	GW-L1
		Florian Lauenburg 60/69-01	MZF-T
		(Florian Lauenburg 03/72-03)	ReakErk (Mölln)
			
61	Horst	Lehmrader Weg	23883 Horst
		Florian Lauenburg 61/41-01	TSF-W
			
	Brunsmark	Dorfstraße	23883 Brunsmark
		Florian Lauenburg 61/41-02	TSF-W
			
62	Seedorf	Dorfstraße 4b	23883 Seedorf
		Florian Lauenburg 62/42-01	LF 8/6
			
	Groß Zecher	An der Weh	23883 Seedorf
		Florian Lauenburg 62/42-02	LF 8/6
			
63	Klein Zecher	Alte Marktstraße 2	23883 Klein Zecher
		Florian Lauenburg 63/41-02	LF 8
			
64	Hollenbek	Dorfstraße 29	23883 Hollenbek
		Florian Lauenburg 64/18-01	MTW
		Florian Lauenburg 64/41-01	TSF-W
			
	Sterley	Alte Dorfstraße 35	23883 Sterley
		Florian Lauenburg 63/19-01	MTW-Jugend
		Florian Lauenburg 64/42-01	LF 10
		Florian Lauenburg 64/43-01	TSF-W
			
65	Gudow	Hauptstraße 24	23899 Gudow
		Florian Lauenburg 65/14-01	MZF
		Florian Lauenburg 65/18-01	MTW (auch RHS)
		Florian Lauenburg 65/44-01	LF 8/6
		Florian Lauenburg 65/48-01	HLF 20
			
66	Salem	Seestraße 44	23911 Salem
		Florian Lauenburg 66/18-01	MTW (Dargow?)
		Florian Lauenburg 66/41-01	TSF-W
			
	Dargow	Schaalseeweg 2	23883 Salem
		Florian Lauenburg 66/41-02	TSF-W
		Florian Lauenburg 66/78-01	RTB
			
67	Besenthal	Dorfstraße 1	23899 Besenthal
		Florian Lauenburg 67/44-01	LF 8/6
			
	Göttin	Dorfstraße	21514 Göttin
		Florian Lauenburg 67/42-01	LF 8/6
			
68	Grambek	Heideweg 4	23883 Grambek
		Florian Lauenburg 68/18-01	MTW
		Florian Lauenburg 68/22-01	TLF 3000
		Florian Lauenburg 68/41-01	TSF-W
			
	Lehmrade	Gudower Straße 1	23883 Lehmrade
		Florian Lauenburg 68/44-01	LF 8/6
			
69	Langenlehsten	Dorfstraße 29a	21514 Langenlehsten
		Florian Lauenburg 69/20-01	TLF 8/18
			
70	Ratzeburg	Robert-Bosch-Straße 1-3	23909 Ratzeburg
		Florian Lauenburg 70/10-01	KdoW
		Florian Lauenburg 70/11-01	ELW 1
		Florian Lauenburg 70/18-01	MTW
		Florian Lauenburg 70/18-02	MTW JF
		Florian Lauenburg 70/22-01	TLF 16/25
		Florian Lauenburg 70/29-01	WaWe 9000
		Florian Lauenburg 70/36-01	HAB 23/12
		Florian Lauenburg 70/44-01	LF 8/6
		Florian Lauenburg 70/46-01	LF 16/12 (Standort THW)
		Florian Lauenburg 70/48-01	HLF 20/16
		Florian Lauenburg 70/58-01	GW-Taucher
		Florian Lauenburg 70/67-01	GW-Logistik
		Florian Lauenburg 70/78-01	MZB Dorothea (Standort See)
		Florian Lauenburg 70/78-02	RTB
			7 Anhänger (diverse)
			
71	Groß Grönau	Am Born 2	23627 Groß Grönau
		Florian Lauenburg 71/11-01	ELW 1
		Florian Lauenburg 71/46-01	LF 20
		Florian Lauenburg 71/48-01	HLF 20/16
			
72	Buchholz-Disnack-Pogeez	Neubau B207/Alte Salzstraße/Hauptstraße	23911 Pogeez
		Florian Lauenburg 71/18-01	MTF
		Florian Lauenburg 71/41-01	TSF-W
		Florian Lauenburg 71/41-02	TSF-W
		Florian Lauenburg 72/42-01	LF 8
			
73	Groß Sarau	Klempauer Straße 5	23627 Groß Sarau
		Florian Lauenburg 73/47-01	LF 10 (2.000er Pumpe, 2.000l Wasser)
		Florian Lauenburg 73/48-01	LF 16/12
			RHS im Aufbau
			
