Funk	Feuerwehr	Amt/Stadt	Adresse
Florian Steinburg 94	FF Landrecht-Stördorf	Amt Wilstermarsch	Bischof, 25554 Landrecht
Florian Steinburg 94-41-01	TSF-W		
			
Florian Steinburg 95	FF Landscheide	Amt Wilstermarsch	Flethseer Straße 21, 25572 Landscheide
Florian Steinburg 95-41-01	TSF-W		
			
Florian Steinburg 96	FF Neuendorf-Sachsenbande	Amt Wilstermarsch	Dückerstieg, 25554 Neuendorf-Sachsenbande
Florian Steinburg 96-41-01	MLF		
			
Florian Steinburg 97	FF Nortorf	Amt Wilstermarsch	Schotten 11, 25554 Nortorf
Florian Steinburg 97-44-01	LF 8-6		
			
Florian Steinburg 98	FF St. Margarethen	Amt Wilstermarsch	Wilhelm-Jensen-Weg 1a, 25572 Sankt Margarethen
Florian Steinburg 98-14-01	MZF		
Florian Steinburg 98-40-01	TSF		
Florian Steinburg 98-41-01	MLF		
Florian Steinburg 98-48-01	HLF 10		
			
Florian Steinburg 99	FF Wewelsfleth	Amt Wilstermarsch	Am Sportplatz, 25599 Wewelsfleth
Florian Steinburg 99-20-01	TLF 8-18		
Florian Steinburg 99-41-01	TSF-W		
Florian Steinburg 99-43-01	LF 10-6		
			
Florian Steinburg 29	Werkfeuerwehr Steinbeis Temming		
Florian Steinburg 29-42-01	LF 8		
Florian Steinburg 29-44-01	LF 8/6		
Florian Steinburg 29-59-01	sonGW		
			
Florian Steinburg 91	Werkfeuerwehr Kernkraftwerk Brokdorf		
Florian Steinburg 91-27-01 A	SMF		
Florian Steinburg 91-27-02 A	SMF		
Florian Steinburg 91-41-01	StLF 10-6		
Florian Steinburg 91-67-01 A	GW-L1		
