Freiwillige Feuerwehr Landkreis Rotenburg		
		
Kreisfeuerwehr		
	Krad	Kreisfeuerwehr
	FwA-Schlauch	
	FwA-Ölschaden	
		
Ortsfeuerwehr Buchholz	Im Dorfe 54	27374 Visselhövede
Florian Rotenburg 32-41-23	TSF-W	Neufahrzeug 2020
		
Ortsfeuerwehr Hiddingen	Hiddinger Straße 26	27374 Visselhövede
Florian Rotenburg 32-21-24	TLF 16/24 T	
Florian Rotenburg 32-41-24	TSF-W	
Florian Rotenburg 85-17-31	MTW	Kreisfeuerw.-Süd
		
Verpflegungsgruppe:		
Florian Rotenburg 85-17-32	MTW	besetzt von Hiddingen, steht in Wittorf
Florian Rotenburg 85-64-31	GW-Logistik Küche	steht am Gewerbecampus Lehnsheide
	FwA-Feldkochherd	steht am Gewerbecampus Lehnsheide
		
Ortsfeuerwehr Schwitschen	Hauptstraße 28	27374 Visselhövede
Florian Rotenburg 32-40-25	TSF	Bj. 2000
		
Ortsfeuerwehr Ottingen	Am Schneebach 6	27374 Visselhövede
Florian Rotenburg 32-41-26	TSF-W	Bj. 2021
		
Ortsfeuerwehr Jeddingen	Heidmark 2	27374 Visselhövede
Florian Rotenburg 32-21-31	TLF 16/24-Tr	Bj. 2006
Florian Rotenburg 32-43-31	LF 8	Bj. 1995
		
Ortsfeuerwehr Kettenburg	Am Lehrdetal 75	27374 Visselhövede
Florian Rotenburg 32-40-33	TSF	Bj. 1998
		
Ortsfeuerwehr Nindorf	Zur Einigkeit 5a	27374 Visselhövede
Florian Rotenburg 32-41-34	TSF-W	Bj. 2020
		
Ortsfeuerwehr Wittorf	Hobarg	27374 Visselhövede
Florian Rotenburg 32-45-35	LF 10/6	
		
Freiwillige Feuerwehr Einheitsgemeinde Scheeßel		
Ortsfeuerwehr Scheeßel	Harburger Straße	27383 Scheeßel
Florian Rotenburg 33-10-21	KdoW	Bj. 2009, i.D. 2014
Florian Rotenburg 33-11-11	ELW 1	Neufahrzeug 2022
Florian Rotenburg 33-19-21	MTW	Bj. 2004
Florian Rotenburg 33-23-21	TLF 3000	Bj. 2012
Florian Rotenburg 33-47-21	LF 16/12	Bj. 1997
Florian Rotenburg 33-64-21	GW/L1	Neufahrzeug 2020, Schlauch, Atemschutz, Öl,...
Florian Rotenburg 85-17-11	MTW	Kreis, Bj. 2018
		
Ortsfeuerwehr Jeersdorf	In‘n Dörp 37	27383 Scheeßel
Florian Rotenburg 33-41-23	TSF-W	Neufahrzeug 2019
		
Ortsfeuerwehr Westeresch	Alte Eichen	27383 Scheeßel
Florian Rotenburg 33-40-24	TSF	Bj. 2003, 2019 aus Jeersdorf übernommen
		
Ortsfeuerwehr Westerholz	Röhberg	27383 Scheeßel
Florian Rotenburg 33-40-25	TSF	Bj. 1997
		
Ortsfeuerwehr Hetzwege	Elsdorfer Straße	27383 Scheeßel
Florian Rotenburg 33-23-31	TLF 3000	Bj. 2016
Florian Rotenburg 33-45-31	LF 10/6	Bj. 2007, 1.000l Wasser
	MZF der Jugendfeuerwehr	
		
Ortsfeuerwehr Abbendorf	Asterwisch 22	27382 Scheeßel, Neubau geplant
Florian Rotenburg 33-40-33	TSF	Bj. 2001
Florian Rotenburg 33-	Schlauchanhänger	500m
		
Ortsfeuerwehr Sothel	Im Dorfe	27383 Scheeßel
Florian Rotenburg 33-40-34	TSF	Bj. 1989
Florian Rotenburg 33-	FwA-Schlauch	300m
		
Ortsfeuerwehr Wittkopsbostel	Kronskamp 2	27383 Scheeßel
Florian Rotenburg 33-20-35	TLF 8/18	Bj. 1987, 2018 aus Westervesede übernommen
Florian Rotenburg 33-40-35	TSF	Neufahrzeug 2010
	TLF 15	Oldtimerfahrzeug Emma
		
Ortsfeuerwehr Westervesede	Scheeßeler Straße 6	27383 Scheeßel
Florian Rotenburg 33-23-41	TLF 3000	Bj. 2014
Florian Rotenburg 33-44-41	LF 16-TS	Bj. 1985
Florian Rotenburg 33-48-41	HLF 20	Neufahrzeug 2018
		
Ortsfeuerwehr Bartelsdorf	Lange Straße 1a	27383 Scheeßel, Neubau 2019
Florian Rotenburg 33-41-43	TSF-W	Neufahrzeug 2021
		
Ortsfeuerwehr Ostervesede	Benkeloher Straße 6	27383 Scheeßel, Neubau in Planung
Florian Rotenburg 33-41-44	TSF-W	Baujahr 2009
		
Ortsfeuerwehr Wohlsdorf	Lange Straße 1a	27383 Scheeßel, Neubau 2019
Florian Rotenburg 33-41-45	TSF	Neufahrzeug 2021
		
Freiwillige Feuerwehr Samtgemeinde Bothel		
Ortsfeuerwehr Bothel	Eschfeldweg 4	27386 Bothel
Florian Rotenburg 34-11-21	ELW 1	Neufahrzeug 2020/21
Florian Rotenburg 34-22-21	TLF 16/24	Bj. 2008
Florian Rotenburg 34-43-21	LF 8	Bj. 1992
Florian Rotenburg 34-61-21	SW 1000	Bj. 1993
	LF 8	Opel Blitz Bj. 56, Oldtimerfahrzeug
		
Ortsfeuerwehr Brockel	Am Sportplatz	27386 Brockel
Florian Rotenburg 34-40-23	TSF	
		
Ortsfeuerwehr Hastedt	Zur Schnuckenheide 25	27386 Hastedt
Florian Rotenburg 34-40-24	TSF	
	FwA-Ölschaden	
		
