Funkkennung	Fahrzeugtyp	Fahrgestell	Baujahr	Kennzeichen	Info
31	Holm	Florian Pinneberg 31-18-01	MTW	MB Sprinter 316	2018	PI-FH 3118	
		Florian Pinneberg 31-42-01	LF 8	MB 814	1990	PI-2479	
		Florian Pinneberg 31-46-01	LF 20/16	MB Atego 1328F	2006	PI-2198	
		Florian Pinneberg 31-48-01	HLF 10	MB 1629 AF 4x4		PI-FH 3145	
			Anh-Mehrzweck				für Öleinsätze oder Schlauchmaterial
			Anh-Notstromaggregat				
							
32	Hetlingen	Florian Pinneberg 32-42-01	LF 8/6	MB Atego	2002	PI-2130	
		Florian Pinneberg 32-46-01	HLF 20/16	MB 1425 Atego	2005	PI-2814	
							
33	Haseldorf	Florian Pinneberg 33-14-01	MTW	MB Sprinter 311 CDI	2002	PI-2075	
		Florian Pinneberg 33-43-01	LF 8/6	MB 811 D	1991	PI-2261	
		Florian Pinneberg 33-48-01	HLF 20/16	MB Atego 1629 AF	2012	PI-FF 3344	
							
34	Schenefeld	Florian Pinneberg 34-11-01	ELW 1	MB Sprinter 311 CDI	2006	PI-2400	
		Florian Pinneberg 34-14-01	MZF	MB Sprinter 313 CDI	2002	PI-2220	
		Florian Pinneberg 34-18-01	MTW	VW Caddy Trendline 2,0 l TDI, Euro 6	2015	PI-F 3418	
		Florian Pinneberg 34-18-02	MTF	MB Sprinter 316 CDI	2018	PI-F 3419	
		Florian Pinneberg 34-32-01	DLA(K) 23/12	MB Atego 1530 Euro-6	2014	PI-F 3432	
		Florian Pinneberg 34-42-01	LF 10/6	MB Atego 1326 AF	2009	PI-F 3442 	
		Florian Pinneberg 34-48-01	HLF 20/16	MB Atego 1528 AF	2005	PI-2027	
		Florian Pinneberg 34-48-02	LF 16/12	MB Atego 1325 AF	2001		
		Florian Pinneberg 34-67-01	GW-L 1	MB Sprinter 316 CDI	2016	PI-F 3414	
		Florian Pinneberg 34-68-01	GW-L 2	MB Atego 1629 AF	2012	PI-F 3459	
			TS 8/8	VW Typ 2 Transporter	1958	PI-2314	a.D. seit 1983
							
40	Uetersen	Florian Pinneberg 40-10-01	KdoW	Ford S-Max	2010	PI-FF 402	
		Florian Pinneberg 40-11-01	ELW 1	MB Sprinter	2008	PI-FF 401	
		Florian Pinneberg 40-14-01	MZF	MB Sprinter	2019	PI-FF 4014	
		Florian Pinneberg 40-32-01	DLK 23/12	MB Atego	2020	PI-FF 4032	
		Florian Pinneberg 40-46-01	LF 16/12	MB	1998	PI-2999	
		Florian Pinneberg 40-46-02	LF 20	MB Atego 1627	2017	PI-FF 4602	
		Florian Pinneberg 40-48-01	HLF 20/16	MB Atego 1529 F	2010	PI-FF 403	
		Florian Pinneberg 40-51-01	RW 2	MB Atego 1629	2016	PI-FF 4052	
		Florian Pinneberg 40-59-01	GW-Atemschutz	MB Atego	2000	PI-2259	
		Florian Pinneberg 40-67-01	GW-Logistik 1	MB Sprinter	2002	PI-2277	
		Florian Pinneberg 40-68-01	GW-Logistik 2	MB Atego 1629	2016	PI-FF 4068	
		Florian Pinneberg 40-78-01	MZB	Pioner Multi III	2018		
			Anh-Mehrzweck	Ivor Williams  / Koch Anhänger Werke	2019		
							
41	Tornesch-Esingen	Florian Pinneberg 41-11-01	ELW 1	MB Sprinter 519 CDI	2016	PI-TO 4111	
		Florian Pinneberg 41-17-01	PKW	BMW			
		Florian Pinneberg 41-18-01	MTW	MB  Sprinter 316 CDI	2012	PI-TO 4119	
		Florian Pinneberg 41-22-01	TLF 16/25	MB 1124 AF	1994	PI-2904	
		Florian Pinneberg 41-36-01	TMF 23/12	MB Econic 1833 LL	2014	PI-TO 4136	
		Florian Pinneberg 41-47-01	LF 10	MB Atego 1429 AFE	2014	PI-TO 4142	
		Florian Pinneberg 41-48-01	LF 16/12	MB Atego 1325 AF	2002	PI-2248	
		Florian Pinneberg 41-68-01	GW-L	MAN TGM 13.290 4x4	2010	PI-TO 4159	
			Anh-Notstromaggregat		2017	PI-TO 4101	
			Anh-Transport				
							
41	Tornesch-Ahrenlohe	Florian Pinneberg 41-14-01	MZF	MB Sprinter 313 CDI	2002	PI-2068	
		Florian Pinneberg 41-44-01	LF 8/6	MB Atego 815 F	1999	PI-2852	
		Florian Pinneberg 41-48-02	HLF 20/16	MB Atego 1529 AF	2008	PI-TO 300	
		Florian Pinneberg 41-68-02	GW-L2	MB Atego	2012	PI-TO 592	
			Anh-Pulver	Total Pulverlöschgerät G250	1970	PI-2068	
			Anh-Transport	Koch	2004	PI-2618	
							
42	FF Heidgraben	Florian Pinneberg 42-11-01	ELW 1	Ford Transit	1993	PI-FH 4211	
		Florian Pinneberg 42-42-01	LF 8	MB LP 608	1977	PI-2110	
		Florian Pinneberg 42-43-01	LF 8/6	MB Atego	1999	PI 2998	
							
43	Groß Nordende	Florian Pinneberg 43-42-01	LF 8/6				
							
44	Moorrege	Florian Pinneberg 44-14-01	MZF	MB Sprinter	2009	PI-FM 4414	
		Florian Pinneberg 44-42-01	LF 10	MB Atego	2009	PI-FM 4442	
		Florian Pinneberg 44-44-01	LF 16	MB 1224	1995	PI-2956	
		Florian Pinneberg 44-48-01	HLF 10	MB Atego	2019	PI-FM 4448	
			Anh-Jugendfeuerwehr				
							
45	Heist	Florian Pinneberg 45-14-01	MZF	Ford		PI-FH 4514	
		Florian Pinneberg 45-20-01	TLF 8/18	MB		PI-FH 2459	
		Florian Pinneberg 45-44-01	LF 8/6	MB		PI-2154	
		Florian Pinneberg 45-48-01	HLF 20	MB Atego		PI-FF 4544	
							
46	Haselau	Florian Pinneberg 46-14-01	MZF	MB Sprinter 311 CDI	2005	PI-2021	
		Florian Pinneberg 46-41-01	StLF 10/6	MAN TGL 8.180	2010	PI-FH 46	
		Florian Pinneberg 46-45-01	LF 8/6	MB Atego 918 AFE	2003	PI-2405	
							
47	Neuendeich	Florian Pinneberg 47-41-01	TSF-W	MB Vario 612 D	1998	PI-2413	
		Florian Pinneberg 47-44-01	LF 10	Atego 1527 F	2019	PI-FN 4744	
							
60	Br. Hörnerkirchen/Osterhorn	Florian Pinneberg 60-14-01	MZF				
		Florian Pinneberg 60-42-01	LF 8	MB 814 F	1989	PI-2889	
		Florian Pinneberg 60-45-01	LF 8/6				
							
61	Bokel	Florian Pinneberg 61-45-01	TLF 8				
							
62	Westerhorn	Florian Pinneberg 62-14-01	MZF	VW Caravelle T4	1999	PI-2620	
		Florian Pinneberg 62-22-01	TLF 3000	MB Atego 1530 AF	2020	PI-FW 6222	
		Florian Pinneberg 62-48-01	LF 20/16				
							
70	Quickborn	Florian Pinneberg 70-11-01	ELW 1-1	VW T6	2013		
		Florian Pinneberg 70-11-02	ELW 1-2	MB Sprinter 211 CDI	2003		
		Florian Pinneberg 70-18-01	MTW 1	MB Sprinter 208 CDI	2005		
		Florian Pinneberg 70-18-02	MTW 2	MB Sprinter 316 CDI	2016		
		Florian Pinneberg 70-25-01	TLF 24/50	MB 1827 AF	1995		
		Florian Pinneberg 70-32-01	DLK 23/12 GL CS	IVECO E160 E30	2016		
		Florian Pinneberg 70-41-01	TSF-W	MB Vario 612	2002		
		Florian Pinneberg 70-44-01	LF 10/6	MAN TGM 13.280	2010		
		Florian Pinneberg 70-46-01	LF 20/16-2	MAN TGM 13.280	2011		3.030 l Wassertank
		Florian Pinneberg 70-48-01	LF 20/16-1	MAN TGM 13.280	2009		2.000l Wasser + TH Geräte
		Florian Pinneberg 70-48-02	HLF 20	MB Atego 1530  	2021		neues Erstangriffsfahrzeug, dafür geht 70-48-01 zum neuen Außenstandort später
		Florian Pinneberg 70-51-01	RW 2	MB 1224 AF	1996		
		Florian Pinneberg 70-55-01	GW-Öl	Ford Transit	1999		
		Florian Pinneberg 70-56-01	GW-A	MB 711D	1992		
		Florian Pinneberg 70-67-01	GW-L1	MAN TGL	2016		
			TroLA	Gloria	1975		
			MZA	Heinemann	1987		
			MZA JF	Barthau S1	2002		
Die Feuerwache an der Marktstraße in Quickborn (Foto) bleibt die Zentrale. Der Neubau an der Ecke Friedrichsgaber Straße und Ulzburger Landstraße wird ein deutlich kleineres Gebäude mit Sozialraum und Unterstellmöglichkeit für Fahrzeuge. – Quelle: https://www.shz.de/31724672 ©2021							
							
71	Bilsen	Florian Pinneberg 71-45-01	LF 10	Mercedes Benz Atego 1225 AFE	2005	PI-2524	
		Florian Pinneberg 71-48-01	HLF 10	Mercedes Benz Atego 1527			
							
72	Hasloh	Florian Pinneberg 72-14-01	MZF	MB Sprinter	2009	PI-FW 7214	
		Florian Pinneberg 72-18-01	MTW	VW	2012	PI-FW 7218	
